title,artist,year,popularity,tags,phrases
"Bohemian Rhapsody",Queen,1975,100,"rock,classic,opera,progressive","mama just killed a man,galileo,scaramouche,fandango,bismillah"
"Stairway to Heaven",Led Zeppelin,1971,98,"rock,classic,epic,guitar","heaven,lady,stairway,glitter,gold"
"Hey Jude",The Beatles,1968,97,"rock,classic,ballad,emotional","hey jude,don't be afraid,sad song,better"
"Like a Rolling Stone",Bob Dylan,1965,95,"rock,folk,classic,protest","rolling stone,complete unknown,how does it feel"
"Smells Like Teen Spirit",Nirvana,1991,94,"grunge,rock,90s,alternative","teen spirit,nevermind,here we are,entertain"
"Billie Jean",Michael Jackson,1982,96,"pop,80s,dance,r&b","billie jean,not my lover,kid is not my son"
"Hotel California",Eagles,1976,93,"rock,70s,classic,guitar","hotel california,check out,never leave"
"Imagine",John Lennon,1971,92,"pop,peace,classic,ballad","imagine,no heaven,no countries,living for today"
"Purple Haze",Jimi Hendrix,1967,91,"rock,psychedelic,guitar,60s","purple haze,all in my brain,excuse me"
"Good Vibrations",The Beach Boys,1966,89,"pop,surf,60s,harmony","good vibrations,excitation,close my eyes"
"Respect",Aretha Franklin,1967,90,"soul,r&b,empowerment,classic","respect,find out what it means,TCB"
"My Generation",The Who,1965,87,"rock,mod,60s,rebellion","my generation,hope I die,before I get old"
"Born to Run",Bruce Springsteen,1975,88,"rock,americana,70s,blue collar","born to run,tramps like us,baby we were"
"Sweet Child O' Mine",Guns N' Roses,1987,86,"rock,metal,80s,guitar","sweet child,where do we go,blue eyes"
"Thriller",Michael Jackson,1982,95,"pop,horror,80s,dance","thriller,midnight,something evil,lurking"
"Beat It",Michael Jackson,1982,92,"pop,rock,80s,dance","beat it,just beat it,no one wants to be defeated"
"Dancing Queen",ABBA,1976,89,"pop,disco,70s,dance","dancing queen,only seventeen,feel the beat"
"I Will Always Love You",Whitney Houston,1992,94,"pop,ballad,90s,power vocals","always love you,bittersweet memories,wish you joy"
"Sweet Caroline",Neil Diamond,1969,85,"pop,classic,sing-along,feel-good","sweet caroline,good times never seemed so good"
"Don't Stop Believin'",Journey,1981,88,"rock,80s,arena,motivational","don't stop believing,hold on,streetlight people"
"We Are the Champions",Queen,1977,87,"rock,anthem,victory,classic","champions,no time for losers,we are the world"
"We Will Rock You",Queen,1977,86,"rock,stomp,anthem,crowd","rock you,buddy,gonna be,big man"
"Another Brick in the Wall",Pink Floyd,1979,84,"rock,progressive,protest,education","brick in the wall,we don't need,education"
"Money",Pink Floyd,1973,83,"rock,progressive,capitalism,classic","money,it's a gas,share it fairly"
"Comfortably Numb",Pink Floyd,1979,82,"rock,progressive,psychedelic,guitar","comfortably numb,is there anybody,hands are warm"
"Smoke on the Water",Deep Purple,1972,81,"rock,hard rock,riff,classic","smoke on the water,fire in the sky"
"Free Bird",Lynyrd Skynyrd,1974,80,"rock,southern,guitar,freedom","free bird,change,lord help me,can't change"
"Layla",Derek and the Dominos,1970,79,"rock,blues,guitar,classic","layla,got me on my knees,please darling"
"While My Guitar Gently Weeps",The Beatles,1968,78,"rock,guitar,melancholy,classic","guitar gently weeps,look at you all,sitting there"
"Yesterday",The Beatles,1965,77,"pop,ballad,strings,melancholy","yesterday,all my troubles,seemed so far away"
"Let It Be",The Beatles,1970,76,"rock,spiritual,piano,classic","let it be,mother mary,times of trouble"
"Come As You Are",Nirvana,1991,75,"grunge,90s,alternative,dark","come as you are,as you were,memoria"
"Black",Pearl Jam,1991,74,"grunge,90s,alternative,emotional","black,sheets of empty canvas,untouched sheets"
"Alive",Pearl Jam,1991,73,"grunge,90s,alternative,survival","alive,I'm still alive,son she said"
"Jeremy",Pearl Jam,1991,72,"grunge,90s,alternative,social","jeremy,spoke in class today,clearly I remember"
"Creep",Radiohead,1992,71,"alternative,90s,melancholy,self-doubt","creep,weirdo,what the hell,doing here"
"Losing My Religion",R.E.M.,1991,70,"alternative,90s,mandolin,introspective","losing my religion,that's me,in the corner"
"One",U2,1991,69,"rock,90s,emotional,unity","one,love,is it getting better,disappointed"
"Where the Streets Have No Name",U2,1987,68,"rock,80s,anthemic,spiritual","streets have no name,want to run,feel the earth"
"With or Without You",U2,1987,67,"rock,80s,emotional,love","with or without you,can't live,sleight of hand"
"Sweet Home Alabama",Lynyrd Skynyrd,1974,66,"rock,southern,classic,americana","sweet home alabama,where skies are blue,southern man"
"Piano Man",Billy Joel,1973,65,"pop,piano,storytelling,bar","piano man,saturday,sharing a drink,loneliness"
"American Pie",Don McLean,1971,64,"folk,classic,storytelling,long","american pie,day the music died,drove my chevy"
"The Sound of Silence",Simon and Garfunkel,1964,63,"folk,60s,introspective,harmony","sound of silence,hello darkness,old friend"
"Bridge Over Troubled Water",Simon and Garfunkel,1970,62,"folk,70s,comfort,gospel","bridge over troubled water,when you're weary"
"Mrs. Robinson",Simon and Garfunkel,1968,61,"folk,60s,movie,social","mrs robinson,jesus loves you,heaven hold"
"California Gurls",Katy Perry,2010,60,"pop,dance,2010s,summer","california girls,unforgettable,daisy dukes,bikinis"
"Roar",Katy Perry,2013,59,"pop,empowerment,2010s,motivational","roar,eye of the tiger,champion,louder than a lion"
"Shape of You",Ed Sheeran,2017,58,"pop,dance,2010s,romance","shape of you,bar,drink,talking,falling in love"
"Thinking Out Loud",Ed Sheeran,2014,57,"pop,acoustic,2010s,romantic","thinking out loud,when your legs,don't work,darling"
"Rolling in the Deep",Adele,2010,56,"pop,soul,2010s,heartbreak","rolling in the deep,fire starting,could have had it all"
"Someone Like You",Adele,2011,55,"pop,ballad,2010s,heartbreak","someone like you,never mind,I'll find,old friend"
"Hello",Adele,2015,54,"pop,ballad,2010s,comeback","hello,it's me,from the other side,million times"
"Uptown Funk",Mark Ronson ft. Bruno Mars,2014,53,"funk,pop,2010s,dance","uptown funk,don't believe me,just watch,hot damn"
"Blinding Lights",The Weeknd,2019,52,"pop,80s synth,2010s,night","blinding lights,feel like I'm,just missing something"
"Bad Guy",Billie Eilish,2019,51,"pop,alternative,2010s,dark","bad guy,white shirt,bloody nose,duh"
"Shake It Off",Taylor Swift,2014,50,"pop,2010s,empowerment,dance","shake it off,haters gonna hate,players gonna play"
"Anti-Hero",Taylor Swift,2022,49,"pop,2020s,self-reflection,indie","anti-hero,it's me,hi,I'm the problem"
"As It Was",Harry Styles,2022,48,"pop,2020s,nostalgic,soft rock","as it was,holdin' me back,gravity's holdin'"
"Heat Waves",Glass Animals,2020,47,"indie,2020s,dreamy,electronic","heat waves,been faking me out,can't make you happier"
"Levitating",Dua Lipa,2020,46,"pop,disco,2020s,dance","levitating,sugar boo,moonlight,you want me"
"Watermelon Sugar",Harry Styles,2020,45,"pop,2020s,summer,sweet","watermelon sugar high,tastes like strawberries,summer evening"
"drivers license",Olivia Rodrigo,2021,44,"pop,2020s,teen,heartbreak","drivers license,got my license last week,blonde girl"
"good 4 u",Olivia Rodrigo,2021,43,"pop rock,2020s,teen,anger","good for you,so happy,healthy,moved on"
"Stay",The Kid LAROI & Justin Bieber,2021,42,"pop,2020s,collaboration,love","stay,I do the same,if I was you"
"Industry Baby",Lil Nas X ft. Jack Harlow,2021,41,"hip-hop,2020s,confident,pop","industry baby,told you long ago,on the road"
"Montero",Lil Nas X,2021,40,"pop,hip-hop,2020s,personal","call me by your name,montero,in the garden"
"Peaches",Justin Bieber ft. Daniel Caesar,2021,39,"pop,r&b,2020s,smooth","peaches,I got my peaches out in georgia"
"Therefore I Am",Billie Eilish,2020,38,"pop,alternative,2020s,confident","therefore I am,I'm not your friend,pathetic"
"positions",Ariana Grande,2020,37,"pop,r&b,2020s,intimate","positions,switching positions,boy you know"
"34+35",Ariana Grande,2020,36,"pop,r&b,2020s,playful","thirty four plus thirty five,means I want you"
"Mood",24kGoldn ft. iann dior,2020,35,"pop,hip-hop,2020s,emotional","mood,why you always,in a mood"
